label,Codmun
Renacimiento-Chiriquí,410
San Félix-Chiriquí,411
San Lorenzo-Chiriquí,412
Tolé-Chiriquí,413
Tierras Altas-Chiriquí,414
Chepigana-Darién,501
Pinogana-Darién,502
Santa Fe-Darién,503
Chitré-Herrera,601
Las Minas-Herrera,602
Los Pozos-Herrera,603
Ocú-Herrera,604
Parita-Herrera,605
Pesé-Herrera,606
Santa María-Herrera,607
Guararé-Los Santos,701
Las Tablas-Los Santos,702
Los Santos-Los Santos,703
Macaracas-Los Santos,704
Pedasí-Los Santos,705
Pocrí-Los Santos,706
Tonosí-Los Santos,707
Balboa-Panamá,802
Chepo-Panamá,805
Chimán-Panamá,806
Panamá-Panamá,808
San Miguelito-Panamá,810
Taboga-Panamá,811
Atalaya-Veraguas,901
Calobre-Veraguas,902
Cañazas-Veraguas,903
La Mesa-Veraguas,904
Las Palmas-Veraguas,905
Montijo-Veraguas,906
Río de Jesús-Veraguas,907
San Francisco-Veraguas,908
Santa Fe-Veraguas,909
Santiago-Veraguas,910
Soná-Veraguas,911
Mariato-Veraguas,912
Comarca Kuna Yala-Comarca Kuna Yala,1001
Cémaco-Comarca Emberá Wounaán,1101
Sambú-Comarca Emberá Wounaán,1102
Besiko-Comarca Ngäbe Buglé,1201
Mironó-Comarca Ngäbe Buglé,1202
Müna-Comarca Ngäbe Buglé,1203
Nole Duima-Comarca Ngäbe Buglé,1204
Ñürün-Comarca Ngäbe Buglé,1205
Kankintú-Comarca Ngäbe Buglé,1206
Kusapín-Comarca Ngäbe Buglé,1207
Jirondai-Comarca Ngäbe Buglé,1208
Santa Catalina o Calovébora-Comarca Ngäbe Buglé,1209
Arraiján-Panamá Oeste,1301
Capira-Panamá Oeste,1303
Chame-Panamá Oeste,1304
La Chorrera-Panamá Oeste,1307
San Carlos-Panamá Oeste,1309
San José-San José,101
Escazo-San José,102
Desamparados-San José,103
Puriscal-San José,104
Tarrazs-San José,105
Aserro-San José,106
Mora-San José,107
Goicoechea-San José,108
Santa Ana-San José,109
Alajuelita-San José,110
Vazquez de Coronado-San José,111
Acosta-San José,112
Tibás-San José,113
Moravia-San José,114
Montes de Oca-San José,115
Turrubares-San José,116
Dota-San José,117
Curridabat-San José,118
Pérez Zeledón-San José,119
Lenn Cortés Castro-San José,120
Alajuela-Alajuela,201
San Raman-Alajuela,202
Grecia-Alajuela,203
San Mateo-Alajuela,204
Atenas-Alajuela,205
Naranjo-Alajuela,206
Palmares-Alajuela,207
Poas-Alajuela,208
Orotina-Alajuela,209
San Carlos-Alajuela,210
Zarcero-Alajuela,211
Sarche-Alajuela,212
Upala-Alajuela,213
Los Chiles-Alajuela,214
Guatuso-Alajuela,215
Río Cuarto-Alajuela,216
Cartago-Cartago,301
Paraaso-Cartago,302
La Union-Cartago,303
Jiménez-Cartago,304
Turrialba-Cartago,305
Alvarado-Cartago,306
Oreamuno-Cartago,307
El Guarco-Cartago,308
Heredia-Heredia,401
Barva-Heredia,402
Santo Domingo-Heredia,403
Santa Bárbara-Heredia,404
San Rafael-Heredia,405
San Isidro-Heredia,406
Belen-Heredia,407
Flores-Heredia,408
San Pablo-Heredia,409
Sarapiquí-Heredia,410
Liberia-Guanacaste,501
Nicoya-Guanacaste,502
Santa Cruz-Guanacaste,503
Bagaces-Guanacaste,504
Carrillo-Guanacaste,505
Cañas-Guanacaste,506
Abangares-Guanacaste,507
Tilarán-Guanacaste,508
Nandayure-Guanacaste,509
La Cruz-Guanacaste,510
Hojancha-Guanacaste,511
Puntarenas-Puntarenas,601
Esparza-Puntarenas,602
Buenos Aires-Puntarenas,603
Montes de Oro-Puntarenas,604
Osa-Puntarenas,605
Quepos-Puntarenas,606
Golfito-Puntarenas,607
Coto Brus-Puntarenas,608
Parrita-Puntarenas,609
Corredores-Puntarenas,610
Garabito-Puntarenas,611
Pococ-Lim1n,702
Siquirres-Lim1n,703
Talamanca-Lim1n,704
Matina-Lim1n,705
Guácimo-Lim1n,706
Limón-Limón,701
MOCA-ESPAILLAT,10901
CAYETANO GERMOSÉN-ESPAILLAT,10902
GASPAR HERNÁNDEZ-ESPAILLAT,10903
JAMAO AL NORTE-ESPAILLAT,10904
PUERTO PLATA-PUERTO PLATA,11801
ALTAMIRA-PUERTO PLATA,11802
IMBERT-PUERTO PLATA,11804
LOS HIDALGOS-PUERTO PLATA,11805
LUPERÓN-PUERTO PLATA,11806
SOSÚA-PUERTO PLATA,11807
VILLA ISABELA-PUERTO PLATA,11808
VILLA MONTELLANO-PUERTO PLATA,11809
Santiago-SANTIAGO,12501
BISONÓ-SANTIAGO,12502
JÁNICO-SANTIAGO,12503
LICEY AL MEDIO-SANTIAGO,12504
SAN JOSÉ DE LAS MATAS-SANTIAGO,12505
TAMBORIL-SANTIAGO,12506
VILLA GONZÁLEZ-SANTIAGO,12507
PUÑAL-SANTIAGO,12508
SABANA IGLESIA-SANTIAGO,12509
LA VEGA-LA VEGA,21301
CONSTANZA-LA VEGA,21302
JARABACOA-LA VEGA,21303
JIMA ABAJO-LA VEGA,21304
COTUÍ-SANCHEZ RAMÍREZ,22401
CEVICOS-SANCHEZ RAMÍREZ,22402
FANTINO-SANCHEZ RAMÍREZ,22403
LA MATA-SANCHEZ RAMÍREZ,22404
BONAO-MONSEÑOR NOUEL,22801
MAIMÓN-MONSEÑOR NOUEL,22802
PIEDRA BLANCA-MONSEÑOR NOUEL,22803
SAN FRANCISCO DE MACORÍS-DUARTE,30601
ARENOSO-DUARTE,30602
CASTILLO-DUARTE,30603
PIMENTEL-DUARTE,30604
VILLA RIVA-DUARTE,30605
LAS GUÁRANAS-DUARTE,30606
EUGENIO MARÍA DE HOSTOS-DUARTE,30607
NAGUA-MARÍA TRINIDAD SÁNCHEZ,31401
CABRERA-MARÍA TRINIDAD SÁNCHEZ,31402
EL FACTOR-MARÍA TRINIDAD SÁNCHEZ,31403
RÍO SAN JUAN-MARÍA TRINIDAD SÁNCHEZ,31404
SALCEDO-HERMANAS MIRABAL,31901
TENARES-HERMANAS MIRABAL,31902
VILLA TAPIA-HERMANAS MIRABAL,31903
SAMANÁ-SAMANÁ,32001
SÁNCHEZ-SAMANÁ,32002
LAS TERRENAS-SAMANÁ,32003
DAJABÓN-DAJABÓN,40501
LOMA DE CABRERA-DAJABÓN,40502
PARTIDO-DAJABÓN,40503
RESTAURACIÓN-DAJABÓN,40504
MONTE CRISTI-MONTE CRISTI,41501
CASTAÑUELAS-MONTE CRISTI,41502
GUAYUBÍN-MONTE CRISTI,41503
LAS MATAS DE SANTA CRUZ-MONTE CRISTI,41504
PEPILLO SALCEDO-MONTE CRISTI,41505
VILLA VÁSQUEZ-MONTE CRISTI,41506
SAN IGNACIO DE SABANETA-SANTIAGO RODRÍGUEZ,42601
MONCIÓN-SANTIAGO RODRÍGUEZ,42603
MAO-VALVERDE,42701
ESPERANZA-VALVERDE,42702
LAGUNA SALADA-VALVERDE,42703
AZUA-AZUA,50201
LAS CHARCAS-AZUA,50202
PERALTA-AZUA,50205
SABANA YEGUA-AZUA,50206
PUEBLO VIEJO-AZUA,50207
TÁBARA ARRIBA-AZUA,50208
ESTEBANIA-AZUA,50210
BANÍ-PERAVIA,51701
SAN CRISTÓBAL-SAN CRISTÓBAL,52101
BAJOS DE HAINA-SAN CRISTÓBAL,52103
CAMBITA GARABITOS-SAN CRISTÓBAL,52104
VILLA ALTAGRACIA-SAN CRISTÓBAL,52105
YAGUATE-SAN CRISTÓBAL,52106
SAN GREGORIO DE NIGUA-SAN CRISTÓBAL,52107
SAN JOSÉ DE OCOA-SAN JOSÉ DE OCOA,53101
SABANA LARGA-SAN JOSÉ DE OCOA,53102
TAMAYO-BAORUCO,60303
BARAHONA-BARAHONA,60401
CABRAL-BARAHONA,60402
ENRIQUILLO-BARAHONA,60403
PARAÍSO-BARAHONA,60404
LA CIÉNAGA-BARAHONA,60407
POLO-BARAHONA,60410
JIMANÍ-INDEPENDENCIA,61001
DUVERGÉ-INDEPENDENCIA,61002
POSTRER RÍO-INDEPENDENCIA,61004
CRISTÓBAL-INDEPENDENCIA,61005
MELLA-INDEPENDENCIA,61006
PEDERNALES-PEDERNALES,61601
OVIEDO-PEDERNALES,61602
COMENDADOR-ELÍAS PIÑA,70701
BÁNICA-ELÍAS PIÑA,70702
EL LLANO-ELÍAS PIÑA,70703
PEDRO SANTANA-ELÍAS PIÑA,70705
SAN JUAN-SAN JUAN,72201
BOHECHÍO-SAN JUAN,72202
LAS MATAS DE FARFÁN-SAN JUAN,72205
VALLEJUELO-SAN JUAN,72206
EL SEIBO-EL SEIBO,80801
MICHES-EL SEIBO,80802
HIGÜEY-LA ALTAGRACIA,81101
SAN RAFAEL DEL YUMA-LA ALTAGRACIA,81102
LA ROMANA-LA ROMANA,81201
GUAYMATE-LA ROMANA,81202
VILLA HERMOSA-LA ROMANA,81203
SAN PEDRO DE MACORÍS-SAN PEDRO DE MACORÍS,92301
RAMÓN SANTANA-SAN PEDRO DE MACORÍS,92303
CONSUELO-SAN PEDRO DE MACORÍS,92304
GUAYACANES-SAN PEDRO DE MACORÍS,92306
MONTE PLATA-MONTE PLATA,92901
BAYAGUANA-MONTE PLATA,92902
SABANA GRANDE DE BOYÁ-MONTE PLATA,92903
YAMASÁ-MONTE PLATA,92904
PERALVILLO-MONTE PLATA,92905
HATO MAYOR-HATO MAYOR,93001
SABANA DE LA MAR-HATO MAYOR,93002
SANTO DOMINGO DE GUZMÁN-DISTRITO NACIONAL,100101
SANTO DOMINGO ESTE-SANTO DOMINGO,103201
SANTO DOMINGO OESTE-SANTO DOMINGO,103202
SANTO DOMINGO NORTE-SANTO DOMINGO,103203
BOCA CHICA-SANTO DOMINGO,103204
SAN ANTONIO DE GUERRA-SANTO DOMINGO,103205
LOS ALCARRIZOS-SANTO DOMINGO,103206
PEDRO BRAND-SANTO DOMINGO,103207
Belize-Belize,100
Cayo-Cayo,200
Corozal-Corozal,300
Orange Walk-Orange Walk,400
Stann Creek-Stann Creek,500
Toledo-Toledo,600
Jalapa-Nueva Segovia,505
El Jícaro-Nueva Segovia,515
SAN FERNANDO-Nueva Segovia,520
Mosonte-Nueva Segovia,525
Dipilto-Nueva Segovia,530
Macuelizo-Nueva Segovia,535
Santa María-Nueva Segovia,540
Ocotal-Nueva Segovia,545
Ciudad Antigua-Nueva Segovia,550
Wiwilí de Nueva Segovia-Nueva Segovia,560
Wiwilí de Jinotega-Jinotega,1005
El Cuá-Jinotega,1010
San José de Bocay-Jinotega,1012
Santa María de Pantasma-Jinotega,1015
San Rafael del Norte-Jinotega,1020
San Sebastián de Yalí-Jinotega,1025
Jinotega-Jinotega,1035
Somoto-Madriz,2005
Totogalpa-Madriz,2010
Palacagüina-Madriz,2025
Yalagüina-Madriz,2030
Las Sabanas-Madriz,2040
San José de Cusmapa-Madriz,2045
Pueblo Nuevo-Estelí,2505
Condega-Estelí,2510
Estelí-Estelí,2515
San Juan de Limay-Estelí,2520
La Trinidad-Estelí,2525
San Nicolás-Estelí,2530
El Viejo-Chinandega,3025
Puerto Morazán-Chinandega,3030
Somotillo-Chinandega,3035
Villanueva-Chinandega,3040
Chinandega-Chinandega,3045
El Realejo-Chinandega,3050
Corinto-Chinandega,3055
Chichigalpa-Chinandega,3060
Achuapa-León,3505
EL SAUCE-León,3510
Santa Rosa del Peñón-León,3515
El Jicaral-León,3520
Larreynaga-León,3525
Telica-León,3530
Quezalguaque-León,3535
León-León,3540
La Paz Centro-León,3545
Nagarote-León,3550
Rancho Grande-Matagalpa,4005
Río Blanco-Matagalpa,4010
Tuma - La Dalia-Matagalpa,4015
San Isidro-Matagalpa,4020
Sébaco-Matagalpa,4025
Matagalpa-Matagalpa,4030
San Ramón-Matagalpa,4035
Matiguás-Matagalpa,4040
Muy Muy-Matagalpa,4045
Esquipulas-Matagalpa,4050
Terrabona-Matagalpa,4060
Ciudad Darío-Matagalpa,4065
San José de Los Remates-Boaco,5005
Boaco-Boaco,5010
Camoapa-Boaco,5015
Teustepe-Boaco,5025
SAN LORENZO-Boaco,5030
San Francisco Libre-Managua,5505
Tipitapa-Managua,5510
Mateare-Managua,5515
Villa El Carmen-Managua,5520
Ciudad Sandino-Managua,5522
Managua-Managua,5525
Ticuantepe-Managua,5530
El Crucero-Managua,5532
San Rafael del Sur-Managua,5535
Nindirí-Masaya,6005
Masaya-Masaya,6010
La Concepción-Masaya,6020
Masatepe-Masaya,6025
Nandasmo-Masaya,6030
Catarina-Masaya,6035
San Juan de Oriente-Masaya,6040
Niquinohomo-Masaya,6045
San Francisco de Cuapa-Chontales,6507
Juigalpa-Chontales,6510
LA LIBERTAD-Chontales,6515
Santo Tomás-Chontales,6525
San Pedro de Lóvago-Chontales,6530
Acoyapa-Chontales,6535
Villa Sandino-Chontales,6540
El Coral-Chontales,6545
Diriá-Granada,7005
Diriomo-Granada,7010
Granada-Granada,7015
Nandaime-Granada,7020
SAN MARCOS-Carazo,7505
Jinotepe-Carazo,7510
Dolores-Carazo,7515
Diriamba-Carazo,7520
EL ROSARIO-Carazo,7525
Santa Teresa-Carazo,7535
La Conquista-Carazo,7540
Tola-Rivas,8005
Belén-Rivas,8010
Potosí-Rivas,8015
Buenos Aires-Rivas,8020
Moyogalpa-Rivas,8025
Altagracia-Rivas,8030
SAN JORGE-Rivas,8035
Rivas-Rivas,8040
San Juan del Sur-Rivas,8045
Cárdenas-Rivas,8050
El Almendro-Río San Juan,8510
San Miguelito-Río San Juan,8515
San Carlos-Río San Juan,8520
El Castillo-Río San Juan,8525
San Juan de Nicaragua-Río San Juan,8530
Waspam-Región Autónoma de la Costa Caribe Norte,9105
Puerto Cabezas-Región Autónoma de la Costa Caribe Norte,9110
Rosita-Región Autónoma de la Costa Caribe Norte,9115
Bonanza-Región Autónoma de la Costa Caribe Norte,9120
Mulukukú-Región Autónoma de la Costa Caribe Norte,9125
Waslala-Región Autónoma de la Costa Caribe Norte,9127
Siuna-Región Autónoma de la Costa Caribe Norte,9130
Prinzapolka-Región Autónoma de la Costa Caribe Norte,9135
Paiwas-Región Autónoma de la Costa Caribe Sur,9305
La Cruz de Río Grande-Región Autónoma de la Costa Caribe Sur,9310
Desembocadura de Río Grande-Región Autónoma de la Costa Caribe Sur,9312
Laguna de Perlas-Región Autónoma de la Costa Caribe Sur,9315
El Rama-Región Autónoma de la Costa Caribe Sur,9320
El Ayote-Región Autónoma de la Costa Caribe Sur,9323
Corn Island-Región Autónoma de la Costa Caribe Sur,9335
Bluefields-Región Autónoma de la Costa Caribe Sur,9340
Nueva Guinea-Región Autónoma de la Costa Caribe Sur,9345
